Order_Date,Country,City,Category,Sub_Category,Segment,Sales_Channel,Payment_Mode,Sales,Quantity,Discount,Profit
2023-04-30,Canada,Vancouver,Groceries,Cosmetics,Home Office,Offline,UPI,1517.93,5,0.01,214.59
2024-07-16,USA,Los Angeles,Clothing,Phones,Consumer,Offline,Card,586.8,4,0.08,-21.8
2023-05-10,USA,Los Angeles,Beauty,Cosmetics,Home Office,Online,Cash,3609.82,3,0.1,-645.57
2021-09-12,France,Nice,Sports,Chairs,Consumer,Online,Card,1291.91,3,0.03,-217.61
2023-12-02,UK,Manchester,Sports,Cosmetics,Home Office,Offline,Cash,3158.24,13,0.19,-8.12
2024-08-30,USA,Los Angeles,Clothing,Fitness,Home Office,Online,Cash,908.39,6,0.25,43.77
2023-04-23,France,Paris,Furniture,Snacks,Home Office,Offline,UPI,3475.45,5,0.16,-502.03
2022-09-18,India,Bangalore,Electronics,Shirts,Consumer,Offline,Card,432.77,13,0.15,-55.75
2024-01-09,Germany,Berlin,Clothing,Shirts,Consumer,Online,Card,4996.12,11,0.02,1558.81
2021-08-03,UAE,Sharjah,Sports,Chairs,Corporate,Online,Cash,4358.39,4,0.21,1458.84
2021-11-07,Australia,Sydney,Sports,Shirts,Corporate,Offline,Cash,929.25,9,0.2,22.79
2023-12-28,UAE,Sharjah,Electronics,Cosmetics,Consumer,Online,UPI,1138.75,13,0.09,382.38
2022-07-10,India,Bangalore,Beauty,Snacks,Consumer,Online,Net Banking,2850.46,13,0.2,-286.68
2021-06-15,Germany,Munich,Clothing,Cosmetics,Home Office,Offline,Card,3383.38,5,0.25,1178.61
2022-09-17,Australia,Perth,Clothing,Cosmetics,Corporate,Online,Net Banking,4505.1,8,0.24,1085.02
2021-06-04,Germany,Hamburg,Clothing,Phones,Corporate,Online,Cash,4022.89,5,0.24,882.38
2023-04-07,USA,Los Angeles,Beauty,Chairs,Consumer,Offline,Card,2057.3,7,0.14,-72.57
2022-08-25,UAE,Sharjah,Groceries,Cosmetics,Home Office,Online,Card,977.13,8,0.14,-39.65
2024-09-28,UK,Manchester,Beauty,Chairs,Consumer,Offline,Card,1867.39,3,0.3,166.56
2023-02-06,UK,Manchester,Sports,Chairs,Corporate,Offline,Cash,2746.76,4,0.16,-151.1
2021-04-11,UAE,Sharjah,Electronics,Shirts,Consumer,Online,Net Banking,1943.61,1,0.19,-303.67
2024-05-28,Australia,Melbourne,Electronics,Phones,Home Office,Offline,UPI,4047.19,11,0.06,374.91
2024-10-09,USA,Chicago,Groceries,Chairs,Home Office,Offline,Card,4724.49,2,0.07,-611.83
2021-03-11,Australia,Melbourne,Clothing,Phones,Home Office,Offline,UPI,4780.87,4,0.23,-324.96
2023-10-22,India,Delhi,Groceries,Fitness,Corporate,Online,Card,1922.53,6,0.17,-126.53
2021-10-23,UAE,Abu Dhabi,Groceries,Fitness,Home Office,Online,Net Banking,2122.47,4,0.12,-104.07
2023-08-21,UAE,Abu Dhabi,Electronics,Fitness,Home Office,Offline,Card,2114.04,14,0.27,-211.0
2024-12-23,USA,Chicago,Beauty,Fitness,Corporate,Online,Net Banking,709.42,12,0.09,122.8
2022-05-03,USA,Los Angeles,Electronics,Cosmetics,Corporate,Online,Net Banking,3462.47,7,0.21,1261.5
2021-10-19,UAE,Dubai,Beauty,Snacks,Home Office,Online,Cash,4480.36,10,0.28,-579.34
2022-06-05,Canada,Montreal,Sports,Snacks,Consumer,Online,Net Banking,3199.72,3,0.15,935.6
2021-02-01,Canada,Toronto,Clothing,Chairs,Consumer,Offline,Cash,3187.71,5,0.27,1235.91
2022-12-05,France,Lyon,Groceries,Chairs,Corporate,Offline,UPI,732.46,12,0.15,62.94
2024-12-18,Australia,Sydney,Furniture,Phones,Consumer,Offline,Cash,3230.39,13,0.28,1028.0
2024-12-20,Germany,Berlin,Electronics,Chairs,Home Office,Online,Card,4907.78,4,0.1,573.88
2021-10-05,UK,Birmingham,Furniture,Phones,Corporate,Online,Cash,2768.16,12,0.07,313.54
2022-08-25,France,Paris,Groceries,Shirts,Corporate,Online,Net Banking,2213.66,1,0.21,425.0
2022-05-18,France,Nice,Groceries,Snacks,Corporate,Online,UPI,4646.38,2,0.23,-886.25
2021-03-22,Australia,Melbourne,Electronics,Fitness,Corporate,Online,Card,2238.35,8,0.23,-358.74
2023-07-12,UAE,Sharjah,Beauty,Snacks,Corporate,Offline,UPI,3335.73,7,0.12,-343.86
2023-10-24,India,Mumbai,Sports,Shirts,Home Office,Online,Card,3551.85,2,0.14,1291.33
2024-10-13,Germany,Berlin,Electronics,Chairs,Home Office,Offline,Net Banking,4312.82,11,0.21,1291.28
2021-09-08,India,Delhi,Electronics,Snacks,Home Office,Offline,Net Banking,2643.09,1,0.08,-474.06
2023-11-19,Australia,Perth,Electronics,Chairs,Corporate,Offline,UPI,3372.52,5,0.07,290.98
2021-02-05,UAE,Sharjah,Electronics,Chairs,Corporate,Offline,UPI,1840.7,6,0.28,402.68
2022-10-18,Canada,Toronto,Electronics,Chairs,Corporate,Online,Card,4868.23,11,0.24,-847.32
2023-04-12,Canada,Vancouver,Clothing,Phones,Consumer,Online,Net Banking,3384.95,12,0.25,-613.09
2024-04-13,USA,Chicago,Clothing,Shirts,Corporate,Online,UPI,3516.4,6,0.01,834.71
2023-08-11,Canada,Montreal,Clothing,Cosmetics,Consumer,Online,Card,2397.45,10,0.3,-75.41
2021-02-19,USA,Chicago,Furniture,Shirts,Home Office,Online,Net Banking,1398.1,9,0.09,541.03
2023-10-02,India,Delhi,Sports,Phones,Corporate,Offline,UPI,750.93,13,0.07,248.66
2022-06-23,UK,Manchester,Clothing,Phones,Corporate,Online,Net Banking,685.74,4,0.16,200.02
2024-09-07,Germany,Hamburg,Groceries,Chairs,Home Office,Online,Cash,3312.94,4,0.09,20.06
2021-05-12,UK,London,Clothing,Fitness,Consumer,Online,UPI,1227.88,13,0.24,102.15
2022-01-27,Australia,Perth,Furniture,Fitness,Corporate,Online,Net Banking,3759.55,14,0.23,-108.18
2023-08-23,UAE,Sharjah,Furniture,Fitness,Home Office,Offline,UPI,855.67,13,0.1,-97.41
2021-11-13,Canada,Montreal,Beauty,Cosmetics,Consumer,Online,Cash,628.51,8,0.19,-104.15
2024-01-10,Australia,Perth,Electronics,Cosmetics,Corporate,Online,UPI,4692.04,3,0.06,12.29
2021-09-30,UAE,Sharjah,Electronics,Shirts,Home Office,Online,Net Banking,3460.55,11,0.12,1383.67
2021-06-21,USA,Los Angeles,Electronics,Phones,Home Office,Offline,Net Banking,3616.5,6,0.16,439.05
2024-10-03,Germany,Munich,Clothing,Shirts,Consumer,Offline,Cash,3942.85,8,0.23,717.52
2022-08-23,Australia,Melbourne,Clothing,Cosmetics,Corporate,Offline,UPI,3285.95,12,0.07,1011.82
2024-11-20,India,Delhi,Sports,Shirts,Consumer,Online,Net Banking,2698.39,1,0.15,877.79
2024-10-01,USA,Los Angeles,Groceries,Shirts,Consumer,Offline,Cash,4422.31,11,0.04,461.94
2024-03-28,UAE,Sharjah,Sports,Snacks,Corporate,Offline,Cash,2898.94,9,0.08,-403.77
2023-10-14,Canada,Vancouver,Furniture,Phones,Corporate,Offline,Net Banking,323.92,8,0.1,-6.62
2022-08-21,Germany,Berlin,Furniture,Phones,Consumer,Offline,Cash,4190.62,13,0.08,751.34
2021-07-29,Australia,Perth,Beauty,Chairs,Corporate,Offline,UPI,360.95,7,0.09,-46.85
2021-01-31,Australia,Melbourne,Sports,Phones,Consumer,Offline,UPI,4873.53,2,0.07,296.69
2022-07-12,France,Paris,Beauty,Fitness,Consumer,Offline,UPI,4371.23,6,0.17,1494.27
2022-01-26,France,Lyon,Electronics,Fitness,Consumer,Online,Cash,4208.99,13,0.24,1322.06
2024-08-22,UAE,Dubai,Beauty,Fitness,Corporate,Online,UPI,3213.28,2,0.15,822.47
2024-01-14,India,Delhi,Electronics,Phones,Consumer,Online,Net Banking,1482.52,6,0.14,179.88
2023-12-09,Australia,Melbourne,Sports,Chairs,Home Office,Offline,Card,2229.78,14,0.11,-25.88
2021-10-11,UAE,Abu Dhabi,Furniture,Chairs,Corporate,Offline,UPI,4874.84,5,0.26,1699.84
2021-11-24,Australia,Sydney,Sports,Phones,Corporate,Offline,Card,3607.62,14,0.26,259.97
2022-04-24,UK,Birmingham,Furniture,Shirts,Corporate,Online,UPI,2377.35,3,0.14,833.39
2021-05-03,Canada,Montreal,Electronics,Chairs,Home Office,Online,Card,2975.78,8,0.07,379.13
2022-11-03,Germany,Munich,Groceries,Cosmetics,Corporate,Offline,Card,1836.94,3,0.02,544.96
2024-09-12,Australia,Melbourne,Furniture,Snacks,Corporate,Online,Card,2506.75,8,0.06,-71.59
2021-06-25,UK,Birmingham,Sports,Shirts,Consumer,Online,Cash,1143.99,14,0.13,297.55
2022-09-10,India,Bangalore,Furniture,Shirts,Corporate,Offline,Card,2577.23,5,0.08,507.51
2023-06-26,Australia,Sydney,Beauty,Shirts,Corporate,Online,Card,1275.39,2,0.11,70.58
2022-12-27,France,Lyon,Clothing,Phones,Corporate,Offline,UPI,1344.52,6,0.1,530.09
2024-11-12,Canada,Vancouver,Groceries,Cosmetics,Home Office,Offline,UPI,2139.44,14,0.14,-103.06
2021-05-07,Canada,Toronto,Beauty,Snacks,Home Office,Online,Net Banking,4911.41,9,0.27,386.86
2021-07-02,USA,Chicago,Clothing,Fitness,Corporate,Online,Card,3224.56,11,0.06,948.82
2021-09-02,India,Delhi,Groceries,Shirts,Home Office,Online,Cash,4509.34,4,0.22,427.98
2024-04-15,Germany,Hamburg,Sports,Fitness,Consumer,Offline,Card,4879.43,10,0.23,652.33
2021-12-15,France,Lyon,Clothing,Shirts,Consumer,Offline,Card,372.83,13,0.02,77.77
2022-05-13,Germany,Munich,Clothing,Snacks,Corporate,Online,Card,180.6,1,0.04,71.57
2024-07-24,India,Mumbai,Electronics,Phones,Home Office,Online,UPI,4779.61,4,0.07,1267.67
2024-05-22,UAE,Abu Dhabi,Electronics,Chairs,Home Office,Offline,Cash,4449.17,9,0.04,-218.75
2022-12-24,France,Lyon,Groceries,Cosmetics,Consumer,Online,Net Banking,4881.47,9,0.08,786.83
2022-07-26,UAE,Sharjah,Electronics,Cosmetics,Home Office,Offline,Net Banking,724.41,9,0.2,-38.06
2024-07-14,Canada,Vancouver,Groceries,Shirts,Home Office,Offline,Cash,1909.51,2,0.06,-213.34
2021-07-09,Australia,Perth,Electronics,Shirts,Corporate,Online,Net Banking,1582.99,3,0.28,200.79
2021-10-22,Germany,Berlin,Clothing,Cosmetics,Home Office,Offline,UPI,4823.76,11,0.21,1233.74
2024-12-31,UAE,Sharjah,Electronics,Fitness,Corporate,Online,UPI,3808.89,2,0.03,667.77
2022-04-15,UAE,Dubai,Electronics,Chairs,Consumer,Online,Cash,4570.04,7,0.21,-673.58
2022-10-11,UK,Manchester,Electronics,Snacks,Corporate,Offline,Cash,2965.01,4,0.27,158.13
2022-05-21,Canada,Montreal,Sports,Phones,Home Office,Online,Card,4381.62,7,0.18,972.83
2022-07-30,Germany,Berlin,Beauty,Shirts,Consumer,Offline,UPI,4872.0,3,0.1,77.93
2023-11-04,India,Mumbai,Groceries,Cosmetics,Home Office,Offline,Cash,4786.63,13,0.04,109.3
2024-06-26,Germany,Berlin,Sports,Fitness,Home Office,Online,Net Banking,288.37,1,0.11,-56.61
2023-06-02,France,Nice,Electronics,Snacks,Corporate,Online,Cash,1294.79,5,0.17,263.19
2022-06-25,Canada,Toronto,Clothing,Shirts,Home Office,Offline,Net Banking,907.88,5,0.1,198.12
2024-03-24,India,Mumbai,Clothing,Chairs,Consumer,Online,Cash,727.95,3,0.23,-39.95
2021-05-09,Australia,Perth,Clothing,Fitness,Consumer,Offline,Net Banking,4757.41,1,0.19,968.33
2024-09-17,Germany,Berlin,Groceries,Cosmetics,Home Office,Online,Card,1696.0,10,0.24,-317.0
2023-09-10,Germany,Hamburg,Sports,Fitness,Consumer,Offline,UPI,4910.72,14,0.03,1048.18
2023-08-13,UK,Manchester,Furniture,Cosmetics,Consumer,Online,Card,3131.01,10,0.25,489.3
2022-01-28,Canada,Vancouver,Furniture,Shirts,Corporate,Offline,Card,4213.91,7,0.3,-825.52
2021-11-08,India,Mumbai,Clothing,Shirts,Consumer,Online,Net Banking,3528.12,7,0.2,919.24
2024-09-16,Canada,Vancouver,Clothing,Cosmetics,Consumer,Online,Cash,2036.9,4,0.13,445.35
2022-05-21,Germany,Hamburg,Sports,Fitness,Corporate,Online,UPI,3011.51,3,0.25,796.12
2023-12-26,Canada,Toronto,Sports,Snacks,Consumer,Offline,Card,2073.5,12,0.2,570.76
2024-11-09,Germany,Hamburg,Sports,Phones,Home Office,Online,UPI,3895.4,5,0.23,-392.16
2024-09-10,France,Nice,Groceries,Fitness,Consumer,Offline,Cash,1766.63,8,0.21,389.68
2021-03-16,Germany,Berlin,Electronics,Shirts,Home Office,Online,Card,3095.89,6,0.08,790.48
2021-11-13,Canada,Montreal,Sports,Snacks,Consumer,Online,UPI,1575.92,8,0.23,-35.49
2022-08-12,Australia,Sydney,Electronics,Snacks,Home Office,Offline,Card,3566.51,9,0.02,-258.21
2021-05-27,Canada,Toronto,Electronics,Cosmetics,Home Office,Online,Cash,3692.76,11,0.26,1200.06
2023-04-15,India,Delhi,Beauty,Fitness,Home Office,Online,Cash,4559.51,10,0.08,1111.83
2021-05-24,Germany,Munich,Sports,Phones,Corporate,Online,Card,713.04,1,0.13,-113.11
2021-08-19,France,Nice,Furniture,Chairs,Home Office,Online,UPI,1669.76,14,0.2,390.66
2024-05-06,UAE,Abu Dhabi,Sports,Shirts,Home Office,Online,UPI,2145.26,8,0.24,225.22
2021-05-04,UAE,Abu Dhabi,Beauty,Shirts,Consumer,Online,Net Banking,213.03,1,0.17,-22.16
2022-05-17,USA,Los Angeles,Electronics,Phones,Home Office,Offline,Card,3363.75,10,0.23,-617.01
2023-01-02,Canada,Montreal,Electronics,Shirts,Home Office,Online,Cash,4301.81,2,0.01,119.47
2023-08-16,Canada,Vancouver,Sports,Snacks,Corporate,Online,UPI,3097.26,8,0.18,-269.96
2023-08-11,India,Delhi,Furniture,Chairs,Consumer,Online,Net Banking,4208.13,12,0.03,943.91
2023-10-09,India,Mumbai,Sports,Shirts,Home Office,Online,Cash,2747.29,13,0.21,-389.15
2024-08-07,USA,Los Angeles,Sports,Phones,Consumer,Offline,UPI,891.74,11,0.04,335.31
2022-11-20,USA,New York,Groceries,Cosmetics,Home Office,Offline,Card,2201.76,3,0.16,-335.08
2022-05-13,UAE,Abu Dhabi,Groceries,Chairs,Corporate,Online,Cash,4293.97,3,0.11,217.37
2022-12-28,Germany,Berlin,Sports,Fitness,Consumer,Offline,Net Banking,447.09,14,0.27,25.43
2022-05-03,Australia,Perth,Clothing,Cosmetics,Corporate,Offline,Cash,1033.58,9,0.19,-151.98
2022-01-30,USA,New York,Furniture,Chairs,Corporate,Online,Net Banking,2263.49,10,0.22,-194.14
2024-12-19,Canada,Vancouver,Electronics,Snacks,Home Office,Online,UPI,2712.79,10,0.27,-376.36
2022-07-08,Germany,Munich,Electronics,Snacks,Corporate,Offline,Card,4444.05,8,0.23,-536.16
2023-11-14,India,Bangalore,Sports,Cosmetics,Corporate,Online,UPI,389.41,14,0.08,75.3
2022-08-18,Canada,Montreal,Groceries,Shirts,Consumer,Offline,Card,337.66,4,0.27,89.34
2022-01-28,USA,New York,Clothing,Chairs,Corporate,Offline,UPI,2208.05,3,0.27,-71.52
2021-10-07,France,Nice,Sports,Fitness,Corporate,Offline,Card,2477.75,4,0.1,-355.41
2023-10-25,USA,Chicago,Electronics,Snacks,Consumer,Online,Card,491.73,5,0.05,3.58
2021-09-27,USA,New York,Clothing,Chairs,Home Office,Offline,Cash,4763.75,3,0.21,1310.77
2024-12-19,Australia,Melbourne,Beauty,Phones,Consumer,Online,Cash,979.17,11,0.12,-191.28
2021-10-04,UAE,Dubai,Beauty,Fitness,Consumer,Offline,Card,3335.82,5,0.1,1074.35
2022-12-23,Australia,Sydney,Clothing,Snacks,Home Office,Online,Net Banking,3070.03,3,0.26,938.36
2022-03-24,UAE,Abu Dhabi,Furniture,Fitness,Corporate,Offline,Cash,1248.7,1,0.28,363.69
2023-11-12,UK,Manchester,Furniture,Shirts,Corporate,Online,Net Banking,501.2,10,0.07,98.07
2022-04-13,Canada,Vancouver,Clothing,Phones,Consumer,Offline,Card,1648.89,9,0.04,-230.67
2022-11-17,Germany,Berlin,Groceries,Cosmetics,Home Office,Offline,UPI,2355.26,9,0.15,-373.42
2022-06-07,India,Mumbai,Groceries,Shirts,Home Office,Offline,Net Banking,3238.75,3,0.02,241.25
2023-04-30,UK,Manchester,Electronics,Chairs,Home Office,Offline,Cash,2617.74,2,0.04,115.21
2021-10-12,India,Mumbai,Sports,Shirts,Consumer,Offline,Card,594.06,4,0.2,217.78
2021-03-07,India,Mumbai,Beauty,Phones,Consumer,Offline,Card,1740.41,12,0.21,-335.18
2021-02-22,USA,New York,Beauty,Phones,Consumer,Offline,UPI,425.0,8,0.01,152.73
2021-02-13,India,Mumbai,Beauty,Phones,Home Office,Online,Net Banking,1981.95,11,0.13,342.75
2022-04-24,India,Bangalore,Electronics,Snacks,Home Office,Online,Cash,3107.57,10,0.09,503.23
2022-08-15,Canada,Montreal,Groceries,Chairs,Home Office,Online,Card,934.59,5,0.18,214.06
2021-04-28,France,Nice,Groceries,Shirts,Home Office,Online,Net Banking,3158.95,14,0.09,538.47
2023-11-03,UK,London,Electronics,Shirts,Home Office,Offline,Card,2916.85,5,0.17,582.12
2022-09-14,UAE,Dubai,Electronics,Fitness,Consumer,Online,Net Banking,2491.44,7,0.26,-364.07
2023-06-26,Canada,Toronto,Furniture,Shirts,Corporate,Offline,Cash,4386.64,14,0.19,-101.87
2023-05-04,Germany,Hamburg,Beauty,Cosmetics,Corporate,Online,Card,373.1,4,0.14,-0.68
2024-03-15,UAE,Sharjah,Furniture,Chairs,Consumer,Online,UPI,2141.58,13,0.14,-221.3
2023-10-17,India,Bangalore,Beauty,Chairs,Consumer,Offline,Card,4219.32,13,0.21,-362.42
2021-12-15,UAE,Sharjah,Clothing,Chairs,Corporate,Offline,Card,1144.81,8,0.08,353.34
2024-11-28,USA,New York,Beauty,Shirts,Home Office,Offline,Card,1939.31,8,0.27,-24.9
2021-07-22,India,Bangalore,Electronics,Chairs,Consumer,Offline,Card,1635.33,13,0.14,77.68
2021-11-30,Germany,Hamburg,Beauty,Fitness,Corporate,Offline,Card,3237.63,3,0.14,4.76
2021-01-24,UK,Manchester,Furniture,Shirts,Home Office,Offline,Card,4362.53,1,0.17,1056.64
2023-08-11,Canada,Vancouver,Sports,Fitness,Corporate,Offline,Card,3434.03,7,0.28,460.88
2023-05-26,Canada,Toronto,Electronics,Chairs,Home Office,Offline,Cash,154.02,4,0.21,-0.24
2021-06-10,France,Nice,Beauty,Cosmetics,Corporate,Online,Card,2014.07,14,0.16,623.99
2024-07-10,UK,London,Sports,Shirts,Home Office,Online,Card,3214.08,7,0.21,-204.58
2021-01-18,UAE,Sharjah,Sports,Phones,Corporate,Online,Card,3723.25,10,0.17,-495.03
2022-04-13,Canada,Montreal,Electronics,Shirts,Corporate,Offline,Net Banking,1008.91,1,0.13,-84.28
2022-10-12,UK,Manchester,Electronics,Chairs,Corporate,Offline,Card,3789.43,7,0.21,1270.09
2024-11-06,Canada,Vancouver,Furniture,Snacks,Home Office,Online,UPI,1207.39,2,0.2,-234.18
2022-09-26,USA,New York,Beauty,Cosmetics,Home Office,Offline,Cash,255.87,1,0.21,87.32
2023-07-04,France,Lyon,Electronics,Phones,Corporate,Offline,Card,3349.64,11,0.09,661.16
2021-03-03,India,Bangalore,Furniture,Phones,Consumer,Online,Card,1615.54,13,0.16,-315.17
2023-12-22,USA,New York,Furniture,Cosmetics,Corporate,Offline,Card,3580.07,1,0.21,678.04
2022-08-21,Australia,Melbourne,Clothing,Chairs,Corporate,Online,Card,2870.93,1,0.15,77.87
2024-07-20,UAE,Sharjah,Furniture,Cosmetics,Corporate,Offline,Cash,1252.64,5,0.11,-38.5
2023-01-20,Australia,Melbourne,Furniture,Snacks,Consumer,Online,Net Banking,2634.86,7,0.16,-250.84
2023-11-08,USA,New York,Sports,Fitness,Consumer,Offline,Card,1592.12,10,0.28,-22.91
2023-03-31,France,Lyon,Clothing,Shirts,Home Office,Online,Card,1164.71,2,0.19,268.02
2021-08-07,Canada,Montreal,Clothing,Phones,Home Office,Online,Cash,952.45,6,0.24,-81.4
2023-08-15,Germany,Hamburg,Groceries,Snacks,Corporate,Online,UPI,919.12,7,0.28,212.14
2021-12-22,India,Bangalore,Electronics,Fitness,Home Office,Offline,Card,2781.71,6,0.29,348.71
2024-07-10,India,Mumbai,Furniture,Cosmetics,Home Office,Offline,Cash,2487.8,8,0.07,-80.55
2021-07-11,Australia,Melbourne,Beauty,Cosmetics,Home Office,Online,Card,4436.15,13,0.05,-260.92
2021-05-03,India,Mumbai,Beauty,Chairs,Home Office,Offline,Net Banking,3854.54,3,0.25,-118.99
2022-11-10,France,Lyon,Groceries,Snacks,Consumer,Online,Net Banking,2621.68,14,0.18,118.54
2023-03-18,UAE,Abu Dhabi,Electronics,Chairs,Home Office,Online,Card,1043.99,8,0.15,-37.12
2022-08-03,Germany,Berlin,Furniture,Phones,Consumer,Offline,Net Banking,2739.49,3,0.16,715.89
2021-09-11,UK,London,Clothing,Phones,Consumer,Online,Cash,1706.46,12,0.17,677.58
2021-03-25,USA,Los Angeles,Electronics,Cosmetics,Home Office,Offline,Cash,182.6,2,0.22,-4.87
2022-07-10,UK,London,Clothing,Fitness,Corporate,Online,UPI,156.54,12,0.2,-2.77
2022-06-22,Canada,Toronto,Furniture,Cosmetics,Consumer,Online,Net Banking,2483.1,14,0.08,753.65
2024-10-09,Germany,Munich,Electronics,Chairs,Home Office,Online,Card,3301.17,12,0.18,-311.68
2021-07-29,Canada,Vancouver,Clothing,Shirts,Corporate,Offline,UPI,520.75,6,0.04,60.06
2022-02-06,UAE,Abu Dhabi,Groceries,Fitness,Consumer,Online,Cash,4901.02,9,0.17,-827.33
2024-12-16,UAE,Dubai,Groceries,Shirts,Consumer,Offline,Net Banking,2285.82,1,0.14,432.14
2023-10-19,UAE,Abu Dhabi,Clothing,Shirts,Consumer,Online,UPI,3405.04,6,0.25,924.99
2022-02-09,Canada,Vancouver,Groceries,Snacks,Consumer,Offline,Net Banking,2945.88,9,0.25,1122.59
2021-06-16,UK,Manchester,Furniture,Shirts,Consumer,Offline,Cash,759.64,10,0.15,82.7
2021-07-31,Germany,Munich,Clothing,Chairs,Consumer,Online,UPI,4730.45,10,0.29,1837.24
2022-04-03,Canada,Vancouver,Groceries,Cosmetics,Home Office,Offline,Net Banking,4620.56,5,0.22,645.83
2022-03-13,Canada,Montreal,Sports,Shirts,Corporate,Offline,UPI,4052.13,14,0.16,638.35
2022-09-05,UK,London,Groceries,Shirts,Corporate,Online,Net Banking,2625.1,6,0.02,-440.61
2023-09-20,USA,Chicago,Electronics,Shirts,Corporate,Online,UPI,383.35,1,0.02,-51.97
2023-08-27,UAE,Dubai,Furniture,Phones,Home Office,Offline,Card,1292.67,1,0.17,63.39
2022-03-20,France,Paris,Beauty,Phones,Corporate,Offline,Net Banking,1032.68,8,0.05,-116.24
2023-01-20,USA,Los Angeles,Electronics,Snacks,Home Office,Offline,UPI,4205.3,11,0.26,16.57
2022-01-22,France,Lyon,Beauty,Phones,Consumer,Offline,Net Banking,1321.75,9,0.05,-119.52
2024-07-22,Australia,Sydney,Electronics,Cosmetics,Home Office,Offline,Card,422.17,3,0.16,4.21
2021-12-03,UAE,Sharjah,Furniture,Shirts,Home Office,Online,Card,589.75,6,0.14,135.36
2022-07-10,USA,Chicago,Furniture,Phones,Home Office,Offline,Card,4203.42,10,0.08,319.68
2021-03-13,USA,Los Angeles,Sports,Chairs,Corporate,Online,Card,2033.51,6,0.26,524.33
2021-03-08,France,Paris,Sports,Snacks,Corporate,Online,Cash,770.83,7,0.0,273.57
2022-04-10,USA,Chicago,Sports,Snacks,Home Office,Offline,Cash,3766.25,7,0.19,122.1
2024-05-13,USA,New York,Clothing,Fitness,Consumer,Offline,Net Banking,1763.26,14,0.14,347.51
2023-04-12,Germany,Hamburg,Clothing,Snacks,Consumer,Offline,Cash,4372.96,9,0.29,694.62
2021-08-15,Australia,Melbourne,Groceries,Fitness,Corporate,Online,Card,2510.53,10,0.09,826.22
2024-10-19,UAE,Abu Dhabi,Sports,Cosmetics,Corporate,Online,Cash,4967.72,7,0.27,-759.85
2022-12-13,UAE,Abu Dhabi,Beauty,Cosmetics,Home Office,Offline,Net Banking,1212.43,8,0.08,-8.28
2024-02-10,Canada,Toronto,Groceries,Shirts,Home Office,Offline,Card,4551.22,8,0.04,1444.21
